,tweet,emotion,pre_clean_len,clean_text
0,@aandraous @britishmuseum @AndrewsAntonio Merci pour le partage! @openwinemap,nocode,77,merci pour le partage
1,Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,happy,108,dorian gray with rainbow scarf lovewins from
2,@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,happy,118,replace with your wish which the artist uses in next installation it was entralling
3,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,happy,130,thank you for following me back great to hear from a diverse interesting panel defeatingdepression
4,@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,happy,84,what a beautiful jewel portrait is the r for rex
5,@NationalGallery @ThePoldarkian I have always loved this painting.,happy,66,i have always loved this painting
6,"@britishmuseum say wot, mate?",nocode,29,say wot mate
7,Two workshops on evaluating audience engagement @NationalGallery + @Cambridge_Uni early July http://t.co/8X3nLQVfQg http://t.co/4pNnjGzmEP,nocode,138,two workshops on evaluating audience engagement early july
8,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas (@FitzMuseum_UK) http://t.co/e2MUQsbRBR",nocode,96,a forest road by thomas gainsborough oil on canvas
9,Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,happy,91,lucky good luck see you soon
10,"""1...2..."" ""non arrête mon brush!"". l.Alma|A favourite custom|1909 @NationalGallery #bonlundi http://t.co/HpjvSJHGhP",nocode,116,non arr te mon brush l alma a favourite custom bonlundi
11,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... http://t.co/wdV2lzmgLu via @NationalGallery",nocode,136,the two works in our free ducciocaro exhibition play with space movement and architect via
12,Yr 9 art students are off to the @britishmuseum today. Enjoy!,happy,61,yr art students are off to the today enjoy
13,@NationalGallery Indeed,nocode,23,indeed
14,“@britishmuseum: More #Waterloo200? Live #Periscope tonight with Dan Snow @thehistoryguy in #BonaparteAndTheBritish http://t.co/yEav7l6Lpq”,nocode,139,more waterloo live periscope tonight with dan snow in bonaparteandthebritish
15,@RAMMuseum Please vote for us as @sainsbury #sidwell's local charity PRT http://t.co/IguyWk5MJT http://t.co/5kPGLNeW4H,not-relevant,118,please vote for us as sidwell s local charity prt
16,#AskTheGallery Have you got plans to privatise any other roles @NationalGallery ?,not-relevant,81,askthegallery have you got plans to privatise any other roles
17,New digital installation by Girton Artist in Residence @SonnyVadgama will be projected on the façade of the @FitzMuseum_UK tonight from 9pm!,nocode,140,new digital installation by girton artist in residence will be projected on the fa ade of the tonight from pm
18,@BarbyWT @britishmuseum so beautiful,happy,36,so beautiful
19,I'm with (with Sussanna at @nationalgallery) [pic] — https://t.co/RT5OXRAmvR,nocode,76,i m with with sussanna at pic
20,@britishmuseum awesome museum,happy,29,awesome museum
