tweet_id,tweet,emotion
30-08-2019 04:44,b'I\xe2\x80\x99d still do anything for you. And you wouldn\xe2\x80\x99t do shit for me. Why can\xe2\x80\x99t you just leave me alone \xf0\x9f\x99\x84\xf0\x9f\x98\xad #angry #sad #depression',sad
30-08-2019 04:44,b'@AKimCampbell Trump Derangement Syndrome is real people! #sad #pathetic',sad
30-08-2019 04:39,b'RT @BetteMidler: #Trump is having fun fucking with  us w/his ridiculous #Greenland BS.  The shocking part is WE pay attention as if it were\xe2\x80\xa6',sad
30-08-2019 04:38,b'Wow niggas be str8 gay trying look all tuff n serious smh #sad',sad
30-08-2019 04:38,"b'RT @Emolclause: So #Trump is supposed to be the ""TOUGH ON ILLEGALS"" President yet FOR YEARS he profited from young European Models who work\xe2\x80\xa6'",sad
30-08-2019 04:36,b'Wow! Watched this happen because there were no cartoons that morning. I am still shocked when I see it. #Sad https://t.co/NZJJPRdqlb',sad
30-08-2019 04:35,b'I need girl to talk to tonight . #lonely #sad #depressed',sad
30-08-2019 04:33,b'#edit\nMsg:#COMMONSENSE: #Divine #MOTIVATION 1 Of U Will Be #GLAD\n1 Of U Will Be #SAD.\n#WINNERs WIN\nNnnn\n#LOSERs LO$E.\n#USOpen\n3:D\n3:D',no code
30-08-2019 04:33,b'@BridgetSterli19 Can\xe2\x80\x99t even fill up a hs auditorium \xf0\x9f\x98\x82#sad',not relevant
30-08-2019 04:30,b'#sad going to bed',not relevant
30-08-2019 04:30,b'@nickfleisher I find it #sad',sad
30-08-2019 04:29,b'@IvankaTrump @WSJ 1) Polling younger workers about pay? College grads new to the workforce have what experiences to\xe2\x80\xa6 https://t.co/IgBSMhOlkL',sad
30-08-2019 04:29,b'@SuckerCarlson Ivanka spent an entire year developing that quote right out of her thesaurus. I\xe2\x80\x99m sure she\xe2\x80\x99ll use it\xe2\x80\xa6 https://t.co/PpYO9UtgMW',no code
30-08-2019 04:28,"b""Truthfully i don't have a heart to post this but i still post it \nand im sorry if i ever hurt a loyal women heart o\xe2\x80\xa6 https://t.co/kleb9XF2iL""",sad
30-08-2019 04:23,"b'""Life is the movie they said"" keep on going man \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n#rap #freestyle #chill #sad #mad #rapper https://t.co/1bPlGngguv'",sad
30-08-2019 04:22,b'This is one of my best verse to wrote . best best ever to me .im just love to rap about this one a lot man... #rap\xe2\x80\xa6 https://t.co/TkLAI2M7OS',sad
30-08-2019 04:21,"b'@AFunnyValentine Your 21K ""followers"" don\'t engage much, do they sweetie?\n#sad'",sad
30-08-2019 04:21,"b'RT @___sadquotes__: Having anxiety and depression is like being scared and tired at the same time. It\xe2\x80\x99s the fear of failure,but no urge to\xe2\x80\xa6'",sad
30-08-2019 04:21,"b'RT @Powy_uwu: I\'m proud of this, it\'s like a """"crossover"""" of the little page of #Youleftme, I love Angela He work. \xe2\x99\xa1\xe2\x9c\xa8\n\n#Draw #Art #artist\xe2\x80\xa6'",sad
30-08-2019 04:19,b'RT @___sadquotes__: Nobody goes through more shit than a person with a good heart.\n#sadquotes #sad',sad
30-08-2019 04:18,b'RT @___sadquotes__: I stopped talking about how I felt because I knew no one cared anyway.\n#sadquotes #sad #alone #depressed',sad
30-08-2019 04:17,"b'RT @___sadquotes__: I hate when I\xe2\x80\x99m all alone, because that\xe2\x80\x99s when I overthink the most.\n#sadquotes #sad'",sad
30-08-2019 04:16,b'@Missmudcake @RealJack Maybe your son can find a fixer-upper one day too. They don\xe2\x80\x99t do much at all though. #Sad https://t.co/290qa746rJ',sad
30-08-2019 04:15,"b""RT @mermchel: @realDonaldTrump This would be so funny if it was a parody account..\nBut..\nIt's  so pathetic  that this an actual POTUS...rep\xe2\x80\xa6""",sad
30-08-2019 04:15,b'RT @widowlandlife: Advice! #widowlandlife #widow #nothing #widowfog #grief #griefjourney #widower #widowlife #death #youngwidow #life #alon\xe2\x80\xa6',sad
30-08-2019 04:14,"b'RT @MBOKSR_MAGA: @realDonaldTrump Why would the Feds do anything. The DOJ lets criminals off, declines to prosecute anyone even when their\xe2\x80\xa6'",no code
30-08-2019 04:11,b'RT @pamalert: @LisaMei62 Unbelievable! Where is the loyalty and duty in this day and age?! Good riddance. Tough to get a job when your resu\xe2\x80\xa6',sad
30-08-2019 04:10,"b""@GOPChairwoman why don't you tell us something true about the porn star wrestling conman in the white house #sad  #TackyObeseGOP""",sad
30-08-2019 04:07,b'RT @deadrpsesx: ...and in the end\ni will always go back to what hurts me.\n\n#sad #quote',sad
30-08-2019 04:06,b'RT @AlexaFe97894452: The following content may be sensitive to some audiences.\n#blog #blogger #personal #personalblogger #blogpost #wordpre\xe2\x80\xa6',sad
30-08-2019 04:05,b'@JackPosobiec Don\xe2\x80\x99t really know anymore\n#Sad #MAGA #ReallyLoveMyPresident',sad
30-08-2019 04:02,"b'@kirstiealley Kirstie, as a @Scientology Representative and Member. Is this language allowed?  You attached\xe2\x80\xa6 https://t.co/F7Hpl0gntq'",sad
30-08-2019 04:00,"b'@justinhendrix But wait, this cant be true because @GOP is all about the family, family values, protecting kids, th\xe2\x80\xa6 https://t.co/vmE7YzL6u2'",not relevant
30-08-2019 04:00,"b""@realDonaldTrump This would be so funny if it was a parody account..\nBut..\nIt's  so pathetic  that this an actual P\xe2\x80\xa6 https://t.co/omAiz4S13X""",sad
30-08-2019 03:59,b'What is the court going to do with the Georgia and NC vote cheating.  Investigation shows extensive cheating and ma\xe2\x80\xa6 https://t.co/EwW0BzNthS',sad
30-08-2019 03:58,"b""Y'all tomorrow is my daughter's first official pep rally as a high school Freshman Volleyball player &amp; Idk wtf I'm\xe2\x80\xa6 https://t.co/kUtHSCXPHT""",sad
30-08-2019 03:58,b'@MollyGrantham @WBTV_News #sad not fair?',sad
30-08-2019 03:56,"b'@TinaRobbins63 @BrandiGlanville She\xe2\x80\x99s the child, not the mom. #sad'",sad
30-08-2019 03:56,"b""@Bradbersity_ Yeah and then you'll be super #sad""",sad
30-08-2019 03:56,"b""UCF 62-0 score.\n\nThey will lose 1 game this year and still won't be playoff bound.\n\n#Sad\n#CollegeFootball""",no code
30-08-2019 03:56,"b'RT @zariyand: Sometimes, it\'s better to visit Petral Hotel or Galholhu Kanmathi to interact with people. In @Twitter I have to avoid ""twitt\xe2\x80\xa6'",sad
30-08-2019 03:55,b'HECK. Depression. Send snugs and hugs.\n#sad #furry #depression #heck',sad
30-08-2019 03:53,b'@RandPaul So many wasted tax dollars each and every year. #Sad',sad
30-08-2019 03:50,b'Sent but not seen...\n#sad #sadstory',sad
30-08-2019 03:48,b'The dad really got punked by a fat chick?\xf0\x9f\x92\x80 #Sad https://t.co/w5Awb0aD5c',sad
30-08-2019 03:47,b'i love lee taeyong so much  im ###sad &gt;:(( https://t.co/EOMFt54tdD',sad
30-08-2019 03:47,b'@danjlevy I\xe2\x80\x99m disappointed that you are not hosting The Great Canadian Baking Show!  You were soooo good! And it\xe2\x80\x99s\xe2\x80\xa6 https://t.co/qWJlPJzgyj',angry
30-08-2019 03:46,b'RT @pamalert: @LisaMei62 Unbelievable! Where is the loyalty and duty in this day and age?! Good riddance. Tough to get a job when your resu\xe2\x80\xa6',no code
30-08-2019 03:44,b'Why am I always #cold #sad #yay',sad
30-08-2019 03:44,b'RT @YouMustOvercome: GOOD MORNING... FOLLOW THE WHITE RABBIT... \n https://t.co/mNEnJG2J1l #Bunny #Rabbit #sad via @gifkeyboard',sad
