,emotion,clean_text
0,nocode,merci pour le partag
1,happy,dorian gray rainbow scarf lovewin
2,happy,replac wish artist use next instal entral
3,happy,thank follow back great hear diver interest panel defeatingdepress
4,happy,beauti jewel portrait r rex
5,happy,alway love paint
6,nocode,say wot mate
7,nocode,two workshop evalu audienc engag earli juli
8,nocode,forest road thoma gainsborough oil canva
9,happy,lucki good luck see soon
10,nocode,non arr te mon brush l alma favourit custom bonlundi
11,nocode,two work free ducciocaro exhibit play space movement architect via
12,happy,yr art student today enjoy
13,nocode,inde
14,nocode,waterloo live periscop tonight dan snow bonaparteandthebritish
15,not-relevant,plea vote u sidwel local chariti prt
16,not-relevant,askthegalleri got plan privatis role
17,nocode,new digit instal girton artist resid project fa ade tonight pm
18,happy,beauti
19,nocode,sussanna pic
20,happy,awesom museum
21,angry,askthegalleri pay brilliant staff poorli
22,nocode,sneak peek indigenousaustralia exhibit
23,nocode,agre count day till see
24,nocode,bennicholson
25,nocode,cours instamuseum
26,happy,soo beauti
27,happy,
28,happy,one favourit paint great artist
29,nocode,free cpd afternoon war game exhibit thur jul pm plymouth detail
30,happy,magna carta exhibit quit extraordinari imagin done even bit toni hancock
31,not-relevant,peopl sign worth miss book cdavalu phdchat ahrc
32,nocode,none
33,happy,kudo top flight wc exhibit
34,nocode,jack blog museum keep tech youngster collect
35,nocode,none
36,happy,ooh plea let u know
37,not-relevant,miss cornwal much ff
38,not-relevant,membership plu offer
39,nocode,spain egypt
40,happy,enjoy amaz collect famili
41,nocode,dwen brooch stori anglosaxon ladi film exhibit
42,happy,beauti paint thank
43,happy,definingbeauti truli breathtak exhibit fascin portray woman
44,nocode,haha case
45,nocode,great court london photographi
46,nocode,none
47,nocode,one thing innit
48,nocode,discov art social medium noho co founder rod mcintosh noho origin london art
49,happy,thank favourit follow back mum great job defeatingdepress
50,happy,treat end june follow jacksonpollock perfect summer
51,nocode,ivana moonlight hepworth
52,happy,one best place countri
53,nocode,rosetta stone
